travers through
aiguille needle
tricoter knitting
circulaire circular
droite right
gauche left
alternativement alternately
arrêter bind[off]
assembler join
augmentation increase
augmenter [to]increase
avant before
ayant having
bordure edge
boucle loop
bouton button
casser break
chaque each[every]
comme as
commencant begin
continuer continue
côte rib
côté side
coudre sew
couture seam
crosier [to]cross
de from
à to
dernier last
dern last
derrière behind[tbl]
der behind
par [through]back
dessous under
devant front
dev front
diminuer [to]decrease
diminution decrease
dos back
echantillon tension
endroit knit[front] 
ensembles together
mailles stitches
envers purl[back]
explications instructions
faire make
jeté yo
fantaisie pattern
fermer sew[seams]
fermeture co
fil yarn
fois time
former shape
glisser [to]slip
hauteur long[length]
ht length
totale complete
jersey stockinette
l'endroit knit[stitch]
l'envers purl[stitch]
double two
lâcher [to]drop
un a[one]
lais leave
laisser leave
coulée slip
glissée slip
impair odd
rabattue pso
maille stitch
même same
montage co
monter co
nombre number
partager divide
placer [to]place
point pattern
riz moss
mousse garter
puis then
quelque each[every]
rabattre bo
rang row
fg row
rg row
rgs rows
pair even
précédent previous
suivant following
répartir divide
répéter repeat
sans without
séparément separately
simultané simultaneously
sous under
suivante next
suivre follow
suiv follow
surjet skpsso
temps times
terminaison bo
terminer finish
toujours always
tjrs always
tourner [to]turn
tous all
ts all
travail work
tricot knitting
tricoter [to]knit

