a to
cada each
cado each
extremo end
través through
abrochar fasten
acabar finish
aguja needle
auxiliar cable
de from
repuesto holder
derecha right
izquierda left
agujar needle
agujars needles
alternativamente alternately
alto length
anillo loop
antes before
armado making[up]
arrollado yo
aumentar [to]increase
aumentos increases
aún still
bolsillo pocket
borde edge[selvedge]
botón button
bucle loop
cambiar [to]change
centro center
central center
cerrar cast[off]
en in
redondo ring
con with
continuar continue
coser [to]sew
crecido yo
cruzar cross
cuello collar
labor work
vuelta turn
debajo under
delantero front
derecho knit[right]
la the
el the
las the
los the
del of[the]
trabajo work
deslizar slip
o or
después after
detrás tbl
disminuir decrease
dividir divide
doble double
hebra yo
echar yo
elástico rib
empezar begin
escote neck[neckline]
espalda back
fruncir gather
grueso thick
hombro shoulder
hombros shoulders
igual equal
impar odd
juntos together[stitches]
lado side[edge]
largo length
levantar pick[up]
manga sleeve
marcha pattern
medidas measurements
menguar decrease
mitad half
montaje cast[on]
montar cast[on]
ochos cables
ojal buttonhole
orillo selvedge
par even
parar bind[off]
pasada row
precedente previous
pasar slip
proseguir continue
punto stitch
bobo garter
arroz moss
jersey stockinette
deslizado slip
levantado slip
musgo garter
rematado pass[over]
revés purl
puntos together[stitches]
remallar pick[up]
repetir repeat
restante remaining
saltar skip
sequir continue
siempre always
siguiente following[next]
simultáneamente simultaneously
sin without
sisa armhole
talla size
tejer knit
terminación bind[off]
terminar finish
todo every
trabajar work
unir join
veces times
bloquear block
ojales buttonholes
disminución decrease
disminuciónes decreases
menguados decreases
patron pattern
fila row
filas rows
muestra swatch
rematar bind[off]
torsada cable
torsadas cables
lazada yo
